
time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,
10.400844,-0.0679,1.0192,0.0085,-0.0208,-0.7053,0.0071,5.5115,-43.6403,-25.3539,
10.416764,-0.0679,1.0192,0.0085,-0.0208,-0.7053,0.0071,5.5115,-43.6403,-25.3539,
10.419824,-0.0679,1.0192,0.0085,-0.0208,-0.7053,0.0071,5.8733,-43.6949,-22.9797,
10.436351,-0.0709,1.0205,-0.0037,-0.0208,-0.7053,0.0071,5.8733,-43.6949,-22.9797,
10.441002,-0.0709,1.0205,-0.0037,-0.0208,-0.7053,0.0071,4.8095,-44.6309,-23.2779,
10.454550,-0.0709,1.0205,-0.0037,-0.0218,-0.7130,-0.0164,4.8095,-44.6309,-23.2779,
10.458329,-0.0709,1.0205,-0.0037,-0.0218,-0.7130,-0.0164,4.2830,-44.0222,-24.1839,
10.475769,-0.0709,1.0205,-0.0037,-0.0218,-0.7130,-0.0164,4.2830,-44.0222,-24.1839,
10.479713,-0.0709,1.0205,-0.0037,-0.0218,-0.7130,-0.0164,5.9948,-43.8047,-25.4915,
10.498322,-0.0709,1.0205,-0.0037,-0.0218,-0.7130,-0.0164,3.6458,-44.1251,-24.6365,
10.514283,-0.0786,1.0261,0.0108,-0.0218,-0.7130,-0.0164,3.6458,-44.1251,-24.6365,
10.521140,-0.0786,1.0261,0.0108,-0.0218,-0.7130,-0.0164,5.2010,-43.6313,-24.9152,
10.536143,-0.0786,1.0261,0.0108,-0.0038,-0.7155,-0.0314,5.2010,-43.6313,-24.9152,
10.539658,-0.0786,1.0261,0.0108,-0.0038,-0.7155,-0.0314,5.2010,-43.6313,-24.9152,
10.541865,-0.0786,1.0261,0.0108,-0.0038,-0.7155,-0.0314,3.0950,-42.6830,-24.2244,
10.559958,-0.0786,1.0261,0.0108,-0.0038,-0.7155,-0.0314,5.0687,-44.0531,-24.7626,
10.575894,-0.1051,1.0311,-0.0185,-0.0038,-0.7155,-0.0314,5.0687,-44.0531,-24.7626,
10.581604,-0.1051,1.0311,-0.0185,-0.0038,-0.7155,-0.0314,1.6127,-44.4593,-23.9241,
10.595777,-0.1051,1.0311,-0.0185,-0.0038,-0.7155,-0.0314,1.6127,-44.4593,-23.9241,
10.599632,-0.1051,1.0311,-0.0185,0.0059,-0.7007,-0.0301,1.6127,-44.4593,-23.9241,
10.602618,-0.1051,1.0311,-0.0185,0.0059,-0.7007,-0.0301,2.8817,-44.9252,-25.5239,
10.618515,-0.1051,1.0311,-0.0185,0.0059,-0.7007,-0.0301,2.1419,-43.0427,-25.4178,
10.633566,-0.1016,1.0317,0.0063,0.0059,-0.7007,-0.0301,2.1419,-43.0427,-25.4178,
10.644196,-0.1016,1.0317,0.0063,0.0059,-0.7007,-0.0301,3.4433,-42.9962,-23.4739,
10.654160,-0.1016,1.0317,0.0063,0.0059,-0.7007,-0.0301,3.4433,-42.9962,-23.4739,
10.659196,-0.1016,1.0317,0.0063,0.0051,-0.6865,-0.0023,3.4433,-42.9962,-23.4739,
10.664641,-0.1016,1.0317,0.0063,0.0051,-0.6865,-0.0023,3.1490,-43.9487,-25.2391,
10.681084,-0.1016,1.0317,0.0063,0.0051,-0.6865,-0.0023,-0.5014,-43.7744,-24.5610,
10.706198,-0.1016,1.0317,0.0063,0.0051,-0.6865,-0.0023,1.2806,-44.2958,-24.2280,
10.724907,-0.0959,1.0303,-0.0121,0.0051,-0.6865,-0.0023,1.2806,-44.2958,-24.2280,
10.727714,-0.0959,1.0303,-0.0121,0.0051,-0.6865,-0.0023,1.2806,-44.2958,-24.2280,
